Index	VoiceGender	Category	FileName	SentenceHebrew	SentenceTranscription	SentenceRussian	Group	TargetWord
1560	FEMALE	Нейтральные / Безличные	s_522bbb05be31.mp3	קִבַּלְתִּי תְּעוּדַת סִיּוּם הַיּוֹם.	кибáльти тэудáт сию́м hайóм.	Я получил сертификат об окончании сегодня.	Существительные	תְּעוּדַת סִיּוּם
1561	MALE	3-е лицо м.р. (הוא / דוד)	s_b553b0921b07.mp3	הוּא בּוֹגֵר הָאוּלְפָּן הַזֶּה.	hу богэ́р hа-ульпáн hа-зэ́.	Он выпускник этого ульпана.	Существительные	בּוֹגֵר
1562	FEMALE	Нейтральные / Безличные	s_15dadc1edfc7.mp3	זֶה הֶישֵּׂג עֲנָק בִּשְׁבִילֵנוּ.	зэ hэсэ́г анáк бишвилéну.	Это грандиозное достижение для нас.	Существительные	הֶישֵּׂג עֲנָק
1563	FEMALE	3-е лицо ж.р. (היא / שרה)	s_4024adfd2705.mp3	עִבְרִית הִיא שָׂפָה חַיָּה.	иврӣ́т hи сафá хая́.	Иврит — это живой язык.	Существительные	שָׂפָה חַיָּה
1564	FEMALE	Нейтральные / Безличные	s_414314fd62d2.mp3	נִהַלְנוּ שִׂיחָה חוֹפְשִׁית בָּעִבְרִית.	ниháльну сихá хофшӣ́т ба-иврӣ́т.	Мы вели свободную беседу на иврите.	Существительные	שִׂיחָה חוֹפְשִׁית
1565	FEMALE	Нейтральные / Безличные	s_eb68dc046683.mp3	יֵשׁ לוֹ בִּיטָּחוֹן שְׂפָתִי.	йеш ло битахóн сфатӣ́.	У него есть языковая уверенность.	Существительные	בִּיטָּחוֹן שְׂפָתִי
1566	FEMALE	Нейтральные / Безличные	s_a448255dc5a3.mp3	נִמְסַר כִּי הַנָּשִׂיא הִגִּיעַ.	нимсáр ки hа-насӣ́ hигӣ́а.	Сообщается, что президент прибыл.	Существительные	נִמְסַר כִּי
1567	FEMALE	Нейтральные / Безличные	s_e4e1431f4ab5.mp3	לְפִי מְקוֹרוֹת הַמַּצָּב יִשְׁתַּפֵּר.	лэфӣ́ мэкорóт hа-мацáв йиштапéр.	Согласно источникам, ситуация улучшится.	Существительные	לְפִי מְקוֹרוֹת
1568	FEMALE	Нейтральные / Безличные	s_cba7e7f664fd.mp3	יֵשׁ לַחֶבְרָה הַצְלָחָה בֵּינְלְאוּמִּית.	йеш ла-хэврá hацлахá бейнлэумӣ́т.	У компании международный успех.	Существительные	הַצְלָחָה בֵּינְלְאוּמִּית
1569	FEMALE	Нейтральные / Безличные	s_50c1a8441255.mp3	חָשׁוּב לִשְׁמוֹר עַל הַטֶּבַע.	хашýв лишмóр аль hа-тэ́ва.	Важно беречь природу.	Существительные	לִשְׁמוֹר עַל הַטֶּבַע
1570	MALE	3-е лицо м.р. (הוא / דוד)	s_634050c3c792.mp3	הוּא צָרִיךְ לַעֲבוֹר נִיתּוּחַ.	hу царӣ́х лаавóр нитýах.	Ему нужно перенести операцию.	Существительные	לַעֲבוֹר נִיתּוּחַ
1571	MALE	1-е лицо м.р. (אני רוצה)	s_ff680f707df2.mp3	אֲנִי מְאַחֵל בְּרִיאוּת אֵיתָנָה!	анӣ́ мэахéль бриýт эйтанá!	Я желаю крепкого здоровья!	Существительные	בְּרִיאוּת אֵיתָנָה
1572	FEMALE	Женская форма (адаптация 1/2 л.)	s_ff680f707df2_f.mp3	אֲנִי מְאַחֶלֶת בְּרִיאוּת אֵיתָנָה!	анӣ́ меахе́лет бриýт эйтанá!	Я желаю крепкого здоровья!	Существительные	בְּרִיאוּת אֵיתָנָה
1573	FEMALE	Нейтральные / Безличные	s_2780566da173.mp3	יֵשׁ כְּבָר חֲזָרָה לַשִּׁגְרָה.	йеш квар хазарá ла-шигрá.	Уже есть возвращение к привычному ритму жизни.	Существительные	חֲזָרָה לַשִּׁגְרָה
1574	FEMALE	Нейтральные / Безличные	s_62c23c0cd263.mp3	לְתִפְאֶרֶת מְדִינַת יִשְׂרָאֵל!	лэ-тиф’э́рет мэдинáт Исраэ́ль!	Во славу Государства Израиль!	Существительные	לְתִפְאֶרֶת מְדִינַת יִשְׂרָאֵל
1575	FEMALE	Нейтральные / Безличные	s_3094dca86141.mp3	חַג עַצְמָאוּת שָׂמֵחַ לְכוּלָּם!	хаг ацмаýт самéах лэ-хулáм!	С Днем независимости всех!	Существительные	חַג עַצְמָאוּת שָׂמֵחַ
1576	FEMALE	Нейтральные / Безличные	s_bc0f3678b8f6.mp3	זֶה חֲבָל עַל הַזְּמַן!	зэ хавáль аль hа-змáн!	Это просто потрясающе!	Существительные	חֲבָל עַל הַזְּמַן
1577	FEMALE	Нейтральные / Безличные	s_672331b25db7.mp3	הָאוֹכֶל כָּאן סוֹף הַדֶּרֶךְ!	hа-óхель кан соф hа-дéрех!	Еда здесь просто отпад!	Существительные	סוֹף הַדֶּרֶךְ
1578	MALE	2-е лицо м.р. (אתה יודע)	tachles_tsodek.mp3	תַּכְלֶס, אַתָּה מַמָּשׁ צוֹדֵק.	тáхлес, атá мамáш цодéк.	По сути, ты совершенно прав.	Существительные	תַּכְלֶס
1579	FEMALE	Женская форма (адаптация 1/2 л.)	s_68bbfbba0a30_f.mp3	תַּכְלֶס, אַתְּ מַמָּשׁ צוֹדֶקֶת.	тáхлес, ат мамáш цоде́кет.	По сути, ты совершенно прав.	Существительные	תַּכְלֶס
1580	FEMALE	Нейтральные / Безличные	s_bae6693a72dd.mp3	הַהַרְגָּשָׁה שֶׁלִּי עַל הַפָּנִים.	hа-hаргашá шелӣ́ аль hа-панӣ́м.	Самочувствие у меня ужасное.	Существительные	עַל הַפָּנִים
1581	FEMALE	Нейтральные / Безличные	s_57aa0ed12549.mp3	טוֹב, יַאלְלָה בַּיי, נִתְרָאֶה!	тов, я́лла бай, нитраэ́!	Ладно, давай пока, увидимся!	Существительные	יַאלְלָה בַּיי
1582	FEMALE	Нейтральные / Безличные	s_2007ed58085e.mp3	בְּבַקָּשָׁה אַל תַּחְפּוֹר לִי!	бэвакашá аль тахпóр ли!	Пожалуйста, не грузи меня!	Существительные	אַל תַּחְפּוֹר לִי
1583	FEMALE	Нейтральные / Безличные	s_2dbf1e4e22c3.mp3	הַמְּסִבָּה הַזֹּאת הָיְתָה אֵשׁ!	hа-мэсибá hа-зот hайтá эш!	Эта вечеринка была просто огонь!	Существительные	אֵשׁ
1584	FEMALE	Нейтральные / Безличные	s_2eb8bee69376.mp3	מֵהַחַלּוֹן יֵשׁ נוֹף מַרְהִיב.	мэ-hа-халóн йеш ноф марhӣ́в.	Из окна открывается захватывающий вид.	Существительные	נוֹף מַרְהִיב
1585	FEMALE	Нейтральные / Безличные	s_fbd91fbb4136.mp3	הַסֵּפֶר קִבֵּל בִּיקּוֹרֶת מְשַׁבַּחַת.	hа-сéфер кибéль бикóрет мэшабáхат.	Книга получила восторженную рецензию.	Существительные	בִּיקּוֹרֶת מְשַׁבַּחַת
1586	MALE	1-е лицо м.р. (אני רוצה)	s_80323bf969f7.mp3	אֲנִי רוֹצֶה לְהַחְלִיף מִידָּה.	анӣ́ роцэ́ лэhахлӣ́ф мидá.	Я хочу поменять размер.	Существительные	לְהַחְלִיף מִידָּה
1587	FEMALE	Женская форма (адаптация 1/2 л.)	s_80323bf969f7_f.mp3	אֲנִי רוֹצָה לְהַחְלִיף מִידָּה.	анӣ́ роца́ лэhахлӣ́ф мидá.	Я хочу поменять размер.	Существительные	לְהַחְלִיף מִידָּה
1588	FEMALE	Нейтральные / Безличные	s_dc468bfaaa35.mp3	הַמּוּצָר נִמְצָא בַּאֲרִיזָה מְקוֹרִית.	hа-муцáр нимцá бэ-аризá мэкорӣ́т.	Товар находится в оригинальной упаковке.	Существительные	בַּאֲרִיזָה מְקוֹרִית
1589	FEMALE	Нейтральные / Безличные	s_b990ad233bbb.mp3	יֵשׁ לָהֶם רוּחַ הִתְנַדְּבוּת.	йеш лаhéм рýах hитнадвýт.	У них есть дух волонтерства.	Существительные	רוּחַ הִתְנַדְּבוּת
1590	FEMALE	Нейтральные / Безличные	s_6eb6c6db35dc.mp3	גְּבָרוֹתַי וְרַבּוֹתַי, עֶרֶב טוֹב!	гваротáй вэ-работáй, э́рев тов!	Дамы и господа, добрый вечер!	Существительные	גְּבָרוֹתַי וְרַבּוֹתַי
1591	FEMALE	Нейтральные / Безличные	s_20393b32be97.mp3	לְסִיכּוּם, הַפְּגִישָׁה הָיְתָה מוּצְלַחַת.	лэ-сикýм, hа-пгишá hайтá муцлáхат.	В заключение, встреча была успешной.	Существительные	לְסִיכּוּם
1592	FEMALE	Нейтральные / Безличные	s_31995a7a1c3f.mp3	יֶתֶר עַל כֵּן, הִסְכַּמְנוּ.	йéтер аль кен, hискáмну.	Более того, мы согласились.	Существительные	יֶתֶר עַל כֵּן
1593	FEMALE	Нейтральные / Безличные	s_f43012c11ec0.mp3	אֵין סָפֵק שֶׁהוּא יַצְלִיחַ.	эйн сафéк шэ-hу яцлӣ́ах.	Нет сомнений, что он добьется успеха.	Существительные	אֵין סָפֵק שֶׁ-
1594	FEMALE	Нейтральные / Безличные	s_98baadcdbfc1.mp3	יֵשׁ לְהַדְגִּישׁ אֶת הַנְּקוּדָּה.	йеш лэhадгӣ́ш эт hа-нэкудá.	Следует подчеркнуть этот пункт.	Существительные	יֵשׁ לְהַדְגִּישׁ
1595	FEMALE	Нейтральные / Безличные	s_388153097540.mp3	מִצַּד אֶחָד, מִצַּד שֵׁנִי.	ми-цад эхáд, ми-цад шенӣ́.	С одной стороны, с другой стороны.	Существительные	מִצַּד אֶחָד... מִצַּד שֵׁנִי...
1596	FEMALE	Нейтральные / Безличные	s_23eb70b4464b.mp3	זֶה חָזוֹן הַפְרָחַת הַשְּׁמָמָה.	зэ хазóн hафрахáт hа-шмамá.	Это видение возрождения пустыни.	Существительные	הַפְרָחַת הַשְּׁמָמָה
1597	FEMALE	Нейтральные / Безличные	s_748b6a6893aa.mp3	זוֹ פְּרִיצַת דֶּרֶךְ מַדָּעִית.	зо прицáт дéрех мадаӣ́т.	Это научный прорыв.	Существительные	פְּרִיצַת דֶּרֶךְ מַדָּעִית
1598	FEMALE	Нейтральные / Безличные	s_e854e5be19f0.mp3	זֶה הֶישֵּׂג בֵּינְלְאוּמִּי חָשׁוּב.	зэ hэсéг бейнлэумӣ́ хашýв.	Это важное международное достижение.	Существительные	הֶישֵּׂג בֵּינְלְאוּמִּי
1599	MALE	1-е лицо м.р. (אני רוצה)	s_1d1185ba32a6.mp3	סְלִיחָה, אֲנִי חוֹלֵק עָלֶיךָ.	слихá, анӣ́ холéк алéйха.	Простите, я с вами не согласен.	Существительные	אֲנִי חוֹלֵק עָלֶיךָ
1600	FEMALE	Женская форма (адаптация 1/2 л.)	s_1d1185ba32a6_f.mp3	סְלִיחָה, אֲנִי חוֹלֶקֶת עָלֶיךָ.	слихá, анӣ́ холе́кет алéйха.	Простите, я с вами не согласен.	Существительные	אֲנִי חוֹלֵק עָלֶיךָ
1601	FEMALE	Нейтральные / Безличные	s_d33b31b13bf7.mp3	מָצָאנוּ אֶת שְׁבִיל הַזָּהָב.	мацáנו эт швиль hа-заháв.	Мы нашли золотую середину.	Существительные	שְׁבִיל הַזָּהָב
1602	FEMALE	Нейтральные / Безличные	s_a42773aee164.mp3	הֵם הִצְלִיחוּ לְהַגִּיעַ לְהַסְכָּמָה.	hэм hицлӣ́ху лэhагӣ́а лэ-hаскамá.	Они смогли прийти к согласию.	Существительные	לְהַגִּיעַ לְהַסְכָּמָה
1603	FEMALE	Нейтральные / Безличные	s_5bad5d65bd85.mp3	עִם כָּל הַכָּבוֹד, תַּקְשִׁיב.	им коль hа-кавóд, такшӣ́в.	При всём уважении, послушай.	Существительные	עִם כָּל הַכָּבוֹד
1604	FEMALE	Нейтральные / Безличные	s_06c24b783750.mp3	תָּבִין זֹאת לְפִי הַהֶקְשֵׁר.	тавӣ́н зот лэфӣ́ hа-hэ́кшер.	Пойми это исходя из контекста.	Существительные	לְפִי הַהֶקְשֵׁר
1605	FEMALE	Нейтральные / Безличные	s_6b7ff714afb0.mp3	לְעוּמַּת זֹאת, אֲנַחְנוּ נִשְׁאַרְנוּ.	лэумáт зот, анáхну ниш’áрну.	В отличие от этого, мы остались.	Существительные	לְעוּמַּת זֹאת
1606	FEMALE	Нейтральные / Безличные	s_ba6ace21bf15.mp3	כְּתוֹצָאָה מִכָּךְ הַתּוֹכְנִית הִשְׁתַּנְּתָה.	кэ-тоцаá ми-кáх hа-тохнӣ́т hиштанэтá.	Вследствие этого программа изменилась.	Существительные	כְּתוֹצָאָה מִכָּךְ
1607	FEMALE	Нейтральные / Безличные	s_a8bf5c275248.mp3	בְּנוֹסָף לְכָךְ קִבַּלְנוּ הֲנָחָה.	бэ-носáф лэ-хáх кибáльну hанахá.	Кроме того, мы получили скидку.	Существительные	בְּנוֹסָף לְכָךְ
1608	FEMALE	Нейтральные / Безличные	s_e1666787f51a.mp3	עַכְשָׁיו קָלַטְתִּי אֶת הַכֹּל!	ахшáв калáти эт hа-коль!	Сейчас до меня всё дошло!	Существительные	קָלַטְתִּי
1609	FEMALE	Нейтральные / Безличные	s_6ff4f011fc3a.mp3	נָא לַחְזוֹר עַל הַדְּבָרִים.	на лахзóр аль hа-дварӣ́м.	Пожалуйста, повторите сказанное.	Существительные	לַחְזוֹר עַל הַדְּבָרִים
1610	FEMALE	Нейтральные / Безличные	s_9b42251c404d.mp3	כְּדַאי לְהַקְשִׁיב בְּקֶשֶׁב רַב.	кэдáй лэhакшӣ́в бэ-кéшев рав.	Стоит слушать очень внимательно.	Существительные	לְהַקְשִׁיב בְּקֶשֶׁב רַב
1611	FEMALE	Нейтральные / Безличные	s_b3db926f87a1.mp3	הֲרֵינִי פּוֹנֶה בִּשְׁאֵלָה דְּחוּפָה.	hарэйнӣ́ понé би-ш’элá дхуфá.	Сим обращаюсь со срочным вопросом.	Существительные	הֲרֵינִי פּוֹנֶה
1612	MALE	1-е лицо м.р. (אני רוצה)	s_2d21162c2253.mp3	אֲנִי חוֹתֵם בִּכְבוֹד רַב.	анӣ́ хотéм би-хвóд рав.	Я подписываю с глубоким уважением.	Существительные	בִּכְבוֹד רַב
1613	FEMALE	Женская форма (адаптация 1/2 л.)	s_2d21162c2253_f.mp3	אֲנִי חוֹתֶמֶת בִּכְבוֹד רַב.	анӣ́ хоте́мет би-хвóд рав.	Я подписываю с глубоким уважением.	Существительные	בִּכְבוֹד רַב
1614	MALE	1-е лицо м.р. (אני רוצה)	s_1efbd020a4ca.mp3	בְּהֶמְשֵׁךְ לַשִּׂיחָה אֲנִי כּוֹתֵב.	бэ-hэмшéх ла-сихá анӣ́ котéв.	В продолжение разговора я пишу.	Существительные	בְּהֶמְשֵׁךְ לְ-
1615	FEMALE	Женская форма (адаптация 1/2 л.)	s_1efbd020a4ca_f.mp3	בְּהֶמְשֵׁךְ לַשִּׂיחָה אֲנִי כּוֹתֶבֶת.	бэ-hэмшéх ла-сихá анӣ́ коте́вет.	В продолжение разговора я пишу.	Существительные	בְּהֶמְשֵׁךְ לְ-
1616	FEMALE	Нейтральные / Безличные	s_46aad7e135a7.mp3	זֶה מוּעֲבָר לְטִיפּוּלְכֶם הַמָּסוּר.	зэ муавáр лэ-типульхéм hа-масýр.	Это передано на ваше внимательное рассмотрение.	Существительные	לְטִיפּוּלְכֶם הַמָּסוּר
1617	FEMALE	Нейтральные / Безличные	s_d5f2fce5ca81.mp3	נָא לַחֲזוֹר בְּהֶקְדֵּם הָאֶפְשָׁרִי.	на лахазóр бэ-hэкдéм hа-эфшаרӣ́.	Пожалуйста, вернитесь с ответом как можно скорее.	Существительные	בְּהֶקְדֵּם הָאֶפְשָׁרִי
1618	MALE	1-е лицо м.р. (אני רוצה)	s_294138abf8e4.mp3	אֲנִי אֶשְׂמַח מְאוֹד לִתְשׁוּבַתְכֶם.	анӣ́ эсмáх мэóд ли-тшуватхéм.	Я буду очень рад вашему ответу.	Существительные	אֶשְׂמַח לִתְשׁוּבַתְכֶם
1619	FEMALE	Нейтральные / Безличные	s_63aa07e74440.mp3	עָבַרְנוּ יַחַד דֶּרֶךְ אֲרוּכָּה.	авáרנו я́хад дéрех арукá.	Мы прошли вместе долгий путь.	Существительные	דֶּרֶךְ אֲרוּכָּה
1620	MALE	1-е лицо м.р. (אני רוצה)	s_ae7871c542b6.mp3	אֲנִי מְאַחֵל בְּהַצְלָחָה עֲנָקִית!	анӣ́ мэахéль бэ-hацлахá анакӣ́т!	Я желаю огромных успехов!	Существительные	בְּהַצְלָחָה עֲנָקִית
1621	FEMALE	Женская форма (адаптация 1/2 л.)	s_ae7871c542b6_f.mp3	אֲנִי מְאַחֶלֶת בְּהַצְלָחָה עֲנָקִית!	анӣ́ меахе́лет бэ-hацлахá анакӣ́т!	Я желаю огромных успехов!	Существительные	בְּהַצְלָחָה עֲנָקִית
1622	FEMALE	Нейтральные / Безличные	s_ab6467527ee1.mp3	זֹאת הָיְתָה גַּאֲוָוה גְּדוֹלָה.	зот hайтá гаавá гдолá.	Это была большая гордость.	Существительные	גַּאֲוָוה גְּדוֹלָה
1623	FEMALE	Нейтральные / Безличные	s_b73dff003587.mp3	חֲבֵרִי הַיָּקָר, עֲלֵה וְהַצְלַח!	хаверӣ́ hа-якáр, алé вэ-hацлáх!	Мой дорогой друг, процветай и преуспевай!	Существительные	עֲלֵה וְהַצְלַח
1624	MALE	1-е лицо м.р. (אני רוצה)	s_94768a594b2c.mp3	אֲנִי מְאַחֵל דֶּרֶךְ צְלֵחָה!	анӣ́ мэахéль дéрех цлехá!	Я желаю счастливого пути!	Существительные	דֶּרֶךְ צְלֵחָה
1625	FEMALE	Женская форма (адаптация 1/2 л.)	s_94768a594b2c_f.mp3	אֲנִי מְאַחֶלֶת דֶּרֶךְ צְלֵחָה!	анӣ́ меахе́лет дéрех цлехá!	Я желаю счастливого пути!	Существительные	דֶּרֶךְ צְלֵחָה
1626	FEMALE	Нейтральные / Безличные	s_a8d133033517.mp3	חָשׁוּב תָּמִיד לְהַמְשִׁיךְ לְהִתְקַדֵּם.	хашýв тамӣ́д лэhамшӣ́х лэhиткадéм.	Важно всегда продолжать совершенствоваться.	Существительные	לְהַמְשִׁיךְ לְהִתְקַדֵּם
1627	FEMALE	Нейтральные / Безличные	s_cae016b237d2.mp3	בּוֹא, יִשְׂרָאֵל מְחַכָּה לְךָ!	бо, Исраэ́ль мэхакá лехá!	Приезжай, Израиль ждет тебя!	Существительные	יִשְׂרָאֵל מְחַכָּה לְךָ
1628	FEMALE	Нейтральные / Безличные	s_fdbb4aaa45be.mp3	יוֹפִי, כָּל הַכָּבוֹד, אַלּוּף!	йóфи, коль hа-кавóд, алýф!	Отлично, молодец, чемпион!	Существительные	כָּל הַכָּבוֹד, אַלּוּף
1629	FEMALE	Нейтральные / Безличные	s_6deccfc7a935.mp3	שָׁלוֹם, נָעִים מְאוֹד.	шалóм, наӣ́м меóд.	Привет, очень приятно.	Существительные	שָׁלוֹם
1630	FEMALE	Нейтральные / Безличные	s_9dcc4637622c.mp3	בּוֹקֶר טוֹב לְכוּלָּם.	бóкер тов ле-хулáм.	Доброе утро всем.	Существительные	בּוֹקֶר טוֹב
1631	FEMALE	Нейтральные / Безличные	s_e5f6a50f004f.mp3	עֶרֶב טוֹב, חֲבֵרִים.	э́рев тов, хаверӣ́м.	Добрый вечер, друзья.	Существительные	עֶרֶב טוֹב
1632	FEMALE	Нейтральные / Безличные	s_db516bfafa09.mp3	תּוֹדָה רַבָּה עַל הָעֶזְרָה.	тодá рабá аль hа-эзрá.	Большое спасибо за помощь.	Существительные	תּוֹדָה
1633	FEMALE	Нейтральные / Безличные	s_60ce02f1b330.mp3	כּוֹס מַיִם, בְּבַקָּשָׁה.	кос мáйим, бевакашá.	Стакан воды, пожалуйста.	Существительные	בְּבַקָּשָׁה
1634	FEMALE	Нейтральные / Безличные	s_659272eb5180.mp3	שְׁמִי דָּנִי, נָעִים מְאוֹד.	шмӣ дáни, наӣ́м меóд.	Меня зовут Дани, очень приятно.	Существительные	נָעִים מְאוֹד
1635	FEMALE	Нейтральные / Безличные	s_664bcec3efa5.mp3	הַיי, מָה נִשְׁמָע הַיּוֹם?	hай, ма нишмá hайóм?	Привет, как сегодня дела?	Существительные	מָה נִשְׁמָע
1636	FEMALE	Нейтральные / Безличные	s_a92426e2c9d3.mp3	תוֹדָה, הַכֹּל בְּסֵדֶר אֶצלִי.	тодá, hакóль бесéдер эцлӣ́.	Спасибо, у меня всё в порядке.	Существительные	הַכֹּל בְּסֵדֶר
1637	FEMALE	Нейтральные / Безличные	s_8802d1c02bc6.mp3	זֶה רַעְיוֹן יֹופִי מַמָּשׁ.	зэ раайóн йóфи мамáш.	Это действительно отличная идея.	Существительные	יוֹפִי
1638	FEMALE	Нейтральные / Безличные	s_ca561d672ec3.mp3	סְלִיחָה, אֵיפֹה הַתַּחֲנָה?	слихá, э́йфо hа-таханá?	Извините, где остановка?	Существительные	סְלִיחָה
1639	MALE	1-е лицо м.р. (אני רוצה)	s_18f9c00a1467.mp3	כֵּן, אֲנִי מֵבִין הַכֹּל.	кен, анӣ мевӣ́н hакóль.	Да, я всё понимаю.	Существительные	כֵּן
1640	FEMALE	Женская форма (адаптация 1/2 л.)	s_18f9c00a1467_f.mp3	כֵּן, אֲנִי מְבַיֶּנֶת הַכֹּל.	кен, анӣ мевӣ́н hакóль.	Да, я всё понимаю.	Существительные	כֵּן
1641	MALE	1-е лицо м.р. (אני רוצה)	s_ac9f93fb9ab5.mp3	לֹא, אֲנִי לֹא רוֹצֶה.	ло, анӣ ло роцé.	Нет, я не хочу.	Существительные	לֹא
1642	FEMALE	Женская форма (адаптация 1/2 л.)	s_ac9f93fb9ab5_f.mp3	לֹא, אֲנִי לֹא רוֹצָה.	ло, анӣ ло роца́.	Нет, я не хочу.	Существительные	לֹא
1643	MALE	2-е лицо м.р. (אתה יודע)	s_6b0b2ee9255f.mp3	מֵאַיִן אַתָּה בָּאָרֶץ?	меáйин атá ба-áрец?	Откуда ты в стране?	Существительные	מֵאַיִן
1644	FEMALE	Женская форма (адаптация 1/2 л.)	s_6b0b2ee9255f_f.mp3	מְאַיֶּנֶת אַתְּ בָּאָרֶץ?	меáйин ат ба-áрец?	Откуда ты в стране?	Существительные	מֵאַיִן
1645	MALE	2-е лицо м.р. (אתה יודע)	s_5f969196efbe.mp3	מֵאֵיפֹה אַתָּה מַכִּיר אוֹתוֹ?	мэ-э́йфо атá макӣ́р отó?	Откуда ты его знаешь?	Существительные	מֵאֵיפֹה
1646	FEMALE	Женская форма (адаптация 1/2 л.)	s_5f969196efbe_f.mp3	מֵאֵיפֹה אַתְּ מַכִּירָה אוֹתוֹ?	мэ-э́йфо ат макира́ отó?	Откуда ты его знаешь?	Существительные	מֵאֵיפֹה
1647	MALE	1-е лицо м.р. (אני רוצה)	s_32fb5f55849f.mp3	אֲנִי מְדַבֵּר עִבְרִית קְצָת.	анӣ медабéр иврӣ́т кцат.	Я немного говорю на иврите.	Существительные	קְצָת
1648	FEMALE	Женская форма (адаптация 1/2 л.)	s_32fb5f55849f_f.mp3	אֲנִי מְדַבֶּרֶת עִבְרִית קְצָת.	анӣ медабе́рет иврӣ́т кцат.	Я немного говорю на иврите.	Существительные	קְצָת
1649	MALE	1-е лицо м.р. (אני רוצה)	s_e28bff7036f4.mp3	גַּם אֲנִי לוֹמֵד עִבְרִית.	гам анӣ ломéд иврӣ́т.	Я тоже учу иврит.	Существительные	גַּם
1650	FEMALE	Женская форма (адаптация 1/2 л.)	s_e28bff7036f4_f.mp3	גַּם אֲנִי לוֹמֶדֶת עִבְרִית.	гам анӣ ломе́дет иврӣ́т.	Я тоже учу иврит.	Существительные	גַּם
1651	FEMALE	Нейтральные / Безличные	s_2a84603e9d98.mp3	זֶה סֵפֶר טוֹב מְאוֹד.	зэ сéфер тов меóд.	Это очень хорошая книга.	Существительные	זֶה
1652	FEMALE	Нейтральные / Безличные	s_dd2c39cb8ccc.mp3	זֹאת חֲבֵרָה שֶׁלִּי.	зот хаверá шелӣ́.	Это моя подруга.	Существительные	זֹאת
1653	FEMALE	Нейтральные / Безличные	s_05c0c1c8daed.mp3	אֵלֶּה הַחֲבֵרִים שֶׁלִּי.	э́ле hа-хаверӣ́м шелӣ́.	Это мои друзья.	Существительные	אֵלֶּה
1654	FEMALE	Нейтральные / Безличные	s_5b7685c6e48b.mp3	מִי רוֹצֶה קָפֶה חַם?	ми роцé кафэ́ хам?	Кто хочет горячий кофе?	Существительные	מִי
1655	MALE	2-е лицо м.р. (אתה יודע)	s_80bfc1049149.mp3	מָה אַתָּה עוֹשֶׂה עַכְשָׁיו?	ма атá осэ́ ахшáв?	Что ты сейчас делаешь?	Существительные	מָה
1656	FEMALE	Женская форма (адаптация 1/2 л.)	s_80bfc1049149_f.mp3	מָה אַתְּ עוֹשָׂה עַכְשָׁיו?	ма ат оса́ ахшáв?	Что ты сейчас делаешь?	Существительные	מָה
1657	FEMALE	Нейтральные / Безличные	s_f8c1c5dce571.mp3	כַּמָּה זֶה עוֹלֶה בַּחֲנוּת?	кáма зэ олé ба-ханӯ́т?	Сколько это стоит в магазине?	Существительные	כַּמָּה
1658	FEMALE	Нейтральные / Безличные	s_599fe0db2544.mp3	הַהוֹרִים שֶׁלִּי גָּרִים פֹּה.	hа-hорӣ́м шелӣ́ гарӣ́м по.	Мои родители живут здесь.	Существительные	הוֹרִים
1659	FEMALE	Нейтральные / Безличные	s_b18ed30cf69e.mp3	זֶה חֲדַר שֵׁינָה נָעִים.	зэ хадáр шейнá наӣ́м.	Это приятная спальня.	Существительные	חֲדַר שֵׁינָה
1660	FEMALE	Нейтральные / Безличные	s_8760fd3ec6f8.mp3	יֵשׁ פֹּה קָפֶה טוֹב.	йеш по кафэ́ тов.	Здесь есть хороший кофе.	Существительные	יֵשׁ / אֵין
1661	FEMALE	Нейтральные / Безличные	s_ab8d3a9ed110.mp3	תֵּלֵךְ יָשָׁר עַד הָרַמְזוֹר.	телéх яшáр ад hа-рамзóр.	Иди прямо до светофора.	Существительные	יָשָׁר
1662	FEMALE	Нейтральные / Безличные	s_b7f96f24d032.mp3	תִּפְנֶה יָמִינָה בָּרְחוֹב.	тифнэ́ ямӣ́на ба-рехóв.	Поверни направо на улице.	Существительные	יָמִינָה
1663	FEMALE	Нейтральные / Безличные	s_89af7c268ea0.mp3	תִּפְנֶה שְׂמֹאלָה בָּרַמְזוֹר.	тифнэ́ смóла ба-рамзóр.	Поверни налево на светофоре.	Существительные	שְׂמֹאלָה
1664	FEMALE	Нейтральные / Безличные	s_0b4f41484c64.mp3	זוֹ עוּגַת שׁוֹקוֹלָד טְעִימָה.	зо угáт шóколад теимá.	Это вкусный шоколадный торт.	Существительные	עוּגַת שׁוֹקוֹלָד
1665	FEMALE	Нейтральные / Безличные	s_10033b34b2e3.mp3	אֵיפֹה יֵשׁ תַּחֲנַת אוֹטוֹבּוּס?	э́йфо йеш таханáт óтобус?	Где есть автобусная остановка?	Существительные	תַּחֲנַת אוֹטוֹבּוּס
1666	FEMALE	Нейтральные / Безличные	s_5ba70d4360d6.mp3	זֹאת תַּחֲנַת רַכֶּבֶת גְּדוֹלָה.	зот таханáт ракéвет гдолá.	Это большая железнодорожная станция.	Существительные	תַּחֲנַת רַכֶּבֶת
1667	FEMALE	Нейтральные / Безличные	s_855def92c1b7.mp3	זֶה מִיץ תַּפּוּזִים סָחוּט.	зэ миц тапузӣ́м сахýт.	Это свежевыжатый апельсиновый сок.	Существительные	מִיץ תַּפּוּזִים סָחוּט
