Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
1087,"זֹאת הַשְׁקָעָה טוֹבָה מְאֹד.","Это очень хорошая инвестиция.","Существительные","s_b0c0d9a0b1f3.mp3","Мужской"
1088,"פָּתַחְתִּי פִּיקָּדוֹן חָדָשׁ בַּבַּנְק.","Я открыл новый депозит в банке.","Существительные","s_8613ba6c0499.mp3","Мужской"
1089,"יֵשׁ לִי חִיסָּכוֹן בַּבַּנְק.","У меня есть сбережения в банке.","Существительные","s_67a24ae47564.mp3","Мужской"
1090,"אֲנִי מְשַׁלֵּם מַס הַכְנָסָה.","Я плачу подоходный налог.","Существительные","s_85f7757be026.mp3","Мужской"
1091,"קִיבַּלְתִּי עוֹד נְקוּדַּת זִיכּוּי.","Я получил ещё один налоговый балл.","Существительные","s_053a81525fef.mp3","Мужской"
1092,"עָשִׂיתִי תֵּיאוּם מַס בָּאִינְטֶרְנֶט.","Я сделал согласование налогов в интернете.","Существительные","s_a622c3b578eb.mp3","Мужской"
1093,"הָעֵסֶק הֵבִיא רֶוַוח יָפֶה.","Бизнес принёс хорошую прибыль.","Существительные","s_383026b43384.mp3","Мужской"
1094,"לַחֶבְרָה יֵשׁ הֶפְסֵד כַּסְפִּי.","У компании финансовый убыток.","Существительные","s_d7a2496083cb.mp3","Мужской"
1095,"דִּיבַּרְתִּי עִם יוֹעֵץ הַשְׁקָעוֹת.","Я поговорил с инвестиционным советником.","Существительные","s_c4f18b13acfe.mp3","Мужской"
1096,"בָּדַקְתִּי אֶת הָעוֹבֵר וָשָׁב.","Я проверил текущий счёт.","Существительные","s_bcafea572474.mp3","Женский"
1097,"יֵשׁ לִי פְּגִישָׁה עִסְקִית.","У меня деловая встреча.","Существительные","s_d064db682ebc.mp3","Мужской"
1098,"זֶה תְּנַאי חָשׁוּב מְאֹד.","Это очень важное условие.","Существительные","s_08a043e9f5ba.mp3","Мужской"
1099,"עָשִׂינוּ הַשְׁוָואָה בֵּין הַמְּחִירִים.","Мы сделали сравнение цен.","Существительные","s_deb04c32c8f4.mp3","Мужской"
1100,"לָמַדְנוּ שֵׁם פְּעוּלָּה בַּכִּיתָּה.","Мы учили отглагольное существительное в классе.","Существительные","s_2a9eb1268c25.mp3","Мужской"
1101,"הַכְּתִיבָה שֶׁלּוֹ בְּרוּרָה מְאֹד.","Его почерк (письмо) очень понятный.","Существительные","s_70ba907efb79.mp3","Мужской"
1102,"הַלְּמִידָה הַזֹּאת חֲשׁוּבָה מְאֹד.","Это обучение очень важное.","Существительные","s_322ed807fb1b.mp3","Мужской"
1103,"הַתַּשְׁלוּם עָבַר בְּהַצְלָחָה הַיּוֹם.","Платёж сегодня прошёл успешно.","Существительные","s_095a40a1f806.mp3","Мужской"
1104,"הַתִּיקּוּן שֶׁל הַמַּזְגָן הִצְלִיחַ.","Ремонт кондиционера удался.","Существительные","s_d0d2c1cc30c2.mp3","Мужской"
1105,"הָיְיתָה הִתְרַגְּשׁוּת גְּדוֹלָה מְאֹד.","Было очень большое волнение.","Существительные","s_1be00e0afbc0.mp3","Мужской"
1106,"תּוֹדָה עַל הַהִשְׁתַּתְּפוּת שֶׁלָּכֶם.","Спасибо за ваше участие.","Существительные","s_3df342a3badb.mp3","Мужской"
1107,"יֵשׁ לוֹ הִתְנַהֲגוּת טוֹבָה.","У него хорошее поведение.","Существительные","s_84cd9aadfbf5.mp3","Мужской"
1108,"הוּא מְתַכְנֵן פְּתִיחַת עֵסֶק.","Он планирует открытие бизнеса.","Существительные","s_408fd51d4280.mp3","Мужской"
1109,"נִפָּגֵשׁ מָחָר בַּבּוֹקֶר.","Встретимся завтра утром.","Существительные","s_49e96049747f.mp3","Мужской"
1110,"הַשִּׁיעוּר יִהְיֶה מָחֳרָתַיִּים.","Урок будет послезавтра.","Существительные","s_c3766d550d65.mp3","Мужской"
1111,"הֵם יַגִּיעוּ בַּשָּׁבוּעַ הַבָּא.","Они приедут на следующей неделе.","Существительные","s_0b9a3b77cb2f.mp3","Мужской"
1112,"נַתְחִיל לַעֲבוֹד בַּחוֹדֶשׁ הַבָּא.","Мы начнём работать в следующем месяце.","Существительные","s_1bc56fa0621e.mp3","Мужской"
1113,"הוּא יַחֲזוֹר בְּקָרוֹב הַבַּיְתָה.","Он скоро вернётся домой.","Существительные","s_23c6b418d460.mp3","Мужской"
1114,"שָׁלוֹם, נִרְאֶה בְּקָרוֹב שׁוּב!","Пока, скоро увидимся снова!","Существительные","s_29ec7af3a5ff.mp3","Мужской"
1115,"דָּוִד, מָתַי תָּבוֹא הַיּוֹם?","Давид, когда ты придёшь сегодня?","Существительные","s_84fb8fb88be0.mp3","Мужской"
1116,"אִם תִּרְצֶה, נָבוֹא אֵלֶיךָ.","Если захочешь, мы придём к тебе.","Существительные","s_dd8f7906b655.mp3","Мужской"
1117,"תַּחְשׁוֹב עַל זֶה הֵיטֵב.","Подумай об этом хорошенько.","Существительные","s_df1c47e3dc57.mp3","Мужской"
1118,"הַחֲבֵרִים יַעַזְרוּ לָנוּ תָּמִיד.","Друзья всегда нам помогут.","Существительные","s_4f1033cd4631.mp3","Мужской"
1119,"הַכֹּל יִהְיֶה בְּסֵדֶר, חָבֵר!","Всё будет хорошо, друг!","Существительные","s_a06d360ecf98.mp3","Мужской"
1120,"בַּקַּיִץ נָטוּס לְחוּ""ל יַחַד.","Летом мы полетим за границу вместе.","Существительные","s_e118b1d76a07.mp3","Мужской"
1121,"בְּשָׁעָה טוֹבָה עַל הַדִּירָה!","В добрый час с покупкой квартиры!","Существительные","s_05aa98b25a89.mp3","Мужской"
1122,"נִשְׁתֶּה קָפֶה בַּבַּיִת שֶׁלִּי.","Мы выпьем кофе у меня дома.","Существительные","s_8522da46483a.mp3","Мужской"
1123,"נִרְאֶה מָה יִהְיֶה מָחָר.","Посмотрим, что будет завтра.","Существительные","s_544d7e1d3a39.mp3","Мужской"
1124,"תַּעֲשׂוּ חַיִּים בַּטִיּוּל הַיּוֹם!","Хорошо вам провести время в поездке сегодня!","Существительные","s_a3e57a29ae5a.mp3","Мужской"
1125,"אֶעֱנֶה לְךָ עוֹד מְעַט.","Я отвечу тебе чуть позже.","Существительные","s_ca7137fb4eed.mp3","Мужской"
1126,"מָה שֶׁיִּהְיֶה יִהְיֶה, חֲבֵרִים.","Будь что будет, друзья.","Существительные","s_abe196f27e3d.mp3","Мужской"
1127,"נְדַבֵּר מָחָר בַּטֶּלֶפוֹן, טוֹב?","Поговорим завтра по телефону, хорошо?","Существительные","s_f927a7c43e57.mp3","Мужской"
1128,"הוּא יְסַדֵּר אֶת הָעִנְיָין.","Он уладит этот вопрос.","Существительные","s_bed1f0677752.mp3","Женский"
1129,"יִהְיֶה בְּסֵדֶר, אֲסַדֵּר הַכֹּל!","Всё будет хорошо, я всё улажу!","Существительные","s_cbae09c84736.mp3","Мужской"
1130,"אַגִּיד לְךָ אֶת הָאֱמֶת.","Я скажу тебе правду.","Существительные","s_76e540c9e1e8.mp3","Женский"
1131,"תַּגִּיד לִי אֵיפֹה אַתָּה.","Скажи мне, где ты.","Существительные","s_6eb742b8deaa.mp3","Мужской"
1132,"אֲנִי מַבְטִיחַ לְךָ לַעֲזוֹר.","Я обещаю тебе помочь.","Существительные","s_5185f01b5953.mp3","Мужской"
1133,"נִתְרָאֶה בַּקָּפֶה בְּקָרוֹב!","Увидимся в кафе скоро!","Существительные","s_1ab0e8ccf3cd.mp3","Мужской"
1134,"שָׁלוֹם, נִתְרָאֶה מָחָר בַּעֲבוֹדָה!","До свидания, увидимся завтра на работе!","Существительные","s_c1866ef47f16.mp3","Мужской"
1135,"אֶתְקַשֵּׁר אֵלֶיךָ עוֹד שָׁעָה.","Я позвоню тебе через час.","Существительные","s_0f76e9dfcd6d.mp3","Мужской"
1136,"אַל תִּתְרַגֵּשׁ, יִהְיֶה טוֹב!","Не волнуйся, всё будет хорошо!","Существительные","s_2704390fa0a2.mp3","Мужской"
1137,"תִּתְלַבְּשׁוּ יָפֶה לַמְּסִבָּה הַיּוֹם.","Оденьтесь красиво на вечеринку сегодня.","Существительные","s_bd0e9511b099.mp3","Мужской"
1138,"תּוֹדָה רַבָּה, נִשְׁתַּמֵּעַ בְּקָרוֹב!","Большое спасибо, созвонимся скоро!","Существительные","s_c130dcdcbe32.mp3","Мужской"
1139,"אַל תִּדְאַג, אֲנִי עוֹזֵר.","Не волнуйся, я помогаю.","Существительные","s_f46061f9bdc4.mp3","Мужской"
1140,"אַל תִּשְׁכַּח אֶת הַמַּפְתֵּחַ!","Не забудь ключ!","Существительные","s_60ec89e5e65c.mp3","Женский"
1141,"תַּמְתִּין רֶגַע עַל הַקַּו.","Подождите минутку на линии.","Существительные","s_5c8ae3510141.mp3","Мужской"
1142,"תִּיכָּנֵס בְּבַקָּשָׁה לַחֶדֶר שֶׁלִּי.","Заходи, пожалуйста, в мою комнату.","Существительные","s_12549230bd18.mp3","Мужской"
1143,"בְּבַקָּשָׁה, תֵּשֵׁב עַל הַכִּסֵּא.","Пожалуйста, присаживайся на стул.","Существительные","s_0784df5d5214.mp3","Мужской"
1144,"תַּקְשִׁיב לִי בְּבַקָּשָׁה עַכְשָׁיו.","Послушай меня, пожалуйста, сейчас.","Существительные","s_5bbbbc65d9c9.mp3","Мужской"
1145,"תִּיזָּהֵר כְּשֶׁאַתָּה חוֹצֶה כְּבִישׁ!","Будь осторожен, когда переходишь дорогу!","Существительные","s_f237f8bf39ff.mp3","Мужской"
1146,"שִׂים לֵב לַתַּמְרוּר הַזֶּה!","Обрати внимание на этот дорожный знак!","Существительные","s_7999642ca26e.mp3","Мужской"
1147,"תִּרְגַּע, יֵשׁ לָנוּ זְמַן.","Успокойся, у нас есть время.","Существительные","s_1a3841a92f84.mp3","Мужской"
1148,"אֲרוּחַת בּוֹקֶר כְּלוּלָה בַּמְּחִיר.","Завтрак включён в стоимость.","Существительные","s_8a69e1119808.mp3","Мужской"
1149,"חוּפְשָׁה נְעִימָה לְכָל הַמִּשְׁפָּחָה!","Приятного отпуска всей семье!","Существительные","s_6001678be27a.mp3","Мужской"
1150,"תַּהֲנוּ מְאוֹד בַּמְּלוֹן הַיּוֹם!","Хорошо вам провести время в гостинице сегодня!","Существительные","s_3d5039fcb742.mp3","Мужской"
1151,"בְּהַצְלָחָה בָּרֵאָיוֹן לָעֲבוֹדָה הַיּוֹם!","Удачи на собеседовании на работу сегодня!","Существительные","s_6451d86db9cd.mp3","Мужской"
1152,"מוּתָּר לַחְנוֹת פֹּה בְּכָחוֹל-לָבָן.","Здесь разрешено парковаться на сине-белой разметке.","Существительные","s_ffac75a20c47.mp3","Мужской"
1153,"אָסוּר לַחְנוֹת פֹּה בְּאָדוֹם-לָבָן.","Здесь запрещено парковаться на красно-белой разметке.","Существительные","s_0477362dd1cd.mp3","Мужской"
1154,"צָרִיךְ לְהַפְעִיל פַּנְגּוֹ עַכְשָׁיו.","Нужно активировать Pango сейчас.","Существительные","s_951bf07223e1.mp3","Мужской"
1155,"שֶׁתִּהְיֶה לְךָ נְהִיגָה בְּטוּחָה!","Безопасного тебе вождения!","Существительные","s_63007bfea284.mp3","Мужской"
1156,"שֶׁיִּהְיֶה בְּשָׁעָה טוֹבָה וּמוּצְלַחַת!","Пусть всё пройдёт в добрый и успешный час!","Существительные","s_23ad19807e0f.mp3","Мужской"
1157,"נִמְאַס לִי מֵהַמַּצָּב הַזֶּה.","Мне надоела эта ситуация.","Существительные","s_cd63bb7021a1.mp3","Мужской"
1158,"הָרַעְיוֹן שֶׁלְּךָ נִשְׁמָע מְצוּיָן.","Твоя идея звучит отлично.","Существительные","s_b961b3dd0117.mp3","Мужской"
1159,"אָז נִפָּגֵשׁ מָחָר בַּבּוֹקֶר.","Тогда встретимся завтра утром.","Существительные","s_2c99921a7497.mp3","Мужской"
1160,"הַיּוֹם אֶשָּׁאֵר בַּבַּיִת לָנוּחַ.","Сегодня я останусь дома отдохнуть.","Существительные","s_f400c9218a0c.mp3","Мужской"
1161,"מְדוּבָּר בִּבְעָיָה קָשָׁה מְאֹד.","Речь идёт об очень трудной проблеме.","Существительные","s_d190bba9852c.mp3","Мужской"
1162,"אַתָּה מוּזְמָן לֶאֱכוֹל אִתָּנוּ.","Ты приглашён пообедать с нами.","Существительные","s_ebcea952488a.mp3","Мужской"
1163,"הַכֹּל מוּסְכָּם וּבָרוּר עַכְשָׁיו.","Всё согласовано и понятно сейчас.","Существительные","s_c24b7c6316b7.mp3","Мужской"
1164,"הַמָּקוֹם הוּזְמַן מֵרֹאשׁ עֲבוּרֵנוּ.","Место было забронировано заранее для нас.","Существительные","s_26265147efe9.mp3","Мужской"
1165,"אַל תִּדְאַג, הַכֹּל מְסוּדָּר.","Не волнуйся, всё устроено.","Существительные","s_069a8aca4902.mp3","Мужской"
1166,"הַקָּפֶה הַיּוֹם זֶה עָלַי!","Кофе сегодня за мой счёт!","Существительные","s_960436507da1.mp3","Мужской"
1167,"אֲנִי סוֹמֵךְ עָלֶיךָ תָּמִיד.","Я всегда полагаюсь на тебя.","Существительные","s_cc85f8a9a875.mp3","Мужской"
1168,"תַּגִּיד, מַה עוֹבֵר עָלֶיךָ?","Скажи, что с тобой происходит?","Существительные","s_0931813d8d69.mp3","Мужской"
1169,"בְּבַקָּשָׁה תַּחֲזוֹר אֵלַי מָחָר.","Пожалуйста, перезвони мне завтра.","Существительные","s_7e0afda2d53b.mp3","Мужской"
1170,"בּוֹא אֵלֵינוּ בְּיוֹם שִׁשִּׁי.","Приходи к нам в пятницу.","Существительные","s_2548986e1429.mp3","Мужской"
1171,"פָּנִיתִי אֵלָיו בִּשְׁאֵלָה חֲשׁוּבָה.","Я обратился к нему с важным вопросом.","Существительные","s_9061941dc953.mp3","Мужской"
1172,"שָׁלַחְתִּי אֵלֶיךָ מִכְתָּב חָשׁוּב.","Я отправил тебе важное письмо.","Существительные","s_1b340fc7d2e8.mp3","Мужской"
1173,"בּוֹאוּ אַחֲרַי לַחֶדֶר הַזֶּה.","Идите за мной в эту комнату.","Существительные","s_124dcf1dc473.mp3","Мужской"
1174,"אִי אֶפְשָׁר בִּלְעָדֶיךָ כָּאן.","Без тебя здесь никак нельзя.","Существительные","s_3e7e18868d02.mp3","Мужской"
1175,"הוּא עָמַד לְפָנַי בַּתּוֹר.","Он стоял передо мной в очереди.","Существительные","s_fb9dfd1d716a.mp3","Мужской"
1176,"בָּאוּ כּוּלָּם מִלְּבַדּוֹ הַיּוֹם.","Пришли все, кроме него сегодня.","Существительные","s_7d7865050cb4.mp3","Мужской"
1177,"הִתְקַשַּׁרְתִּי כַּאֲשֶׁר הִגַּעְתִּי הַבַּיְתָה.","Я позвонил, когда пришёл домой.","Существительные","s_3a3bde88978a.mp3","Мужской"
1178,"אֵחַרְתִּי מִפְּנֵי שֶׁהָיָה פְּקָק.","Я опоздал, потому что была пробка.","Существительные","s_d6a82a2ad51b.mp3","Мужской"
1179,"נִשְׁאַרְתִּי מִכֵּיוְוָן שֶׁיָּרַד גֶּשֶׁם.","Я остался, так как шёл дождь.","Существительные","s_9dd23e583e97.mp3","Мужской"
1180,"בָּאתִי לַמְרוֹת שֶׁהָיִיתִי עָיֵף.","Я пришёл, несмотря на то что устал.","Существительные","s_abf045c96d20.mp3","Мужской"
1181,"בָּאתִי, אַף-עַל-פִּי שֶׁהָיִיתִי עָיֵף.","Я пришёл, даже несмотря на то что устал.","Существительные","s_7d112b2b7d00.mp3","Мужской"
1182,"הִסְבַּרְתִּי כְּדֵי שֶׁתָּבִין הֵיטֵב.","Я объяснил, чтобы ты хорошо понял.","Существительные","s_00a2fd9c2169.mp3","Мужской"
1183,"הַכֹּל קָרָה כְּפִי שֶׁאָמַרְתָּ.","Всё произошло так, как ты сказал.","Существительные","s_44930e0e9984.mp3","Мужской"
1184,"הִקְשַׁבְתִּי בִּזְמַן שֶׁהוּא דִּבֵּר.","Я слушал, пока он говорил.","Существительные","s_f84814ce4148.mp3","Мужской"
1185,"חִכִּיתִי עַד שֶׁהוּא הִגִּיעַ.","Я ждал, пока он не пришёл.","Существительные","s_fadfd2f7c6c9.mp3","Мужской"
1186,"מָה בְּעֶצֶם אַתָּה רוֹצֶה?","Что, собственно говоря, ты хочешь?","Существительные","s_4ea678c41194.mp3","Мужской"
1187,"כְּלוֹמַר, אַתָּה לֹא מַסְכִּים?","То есть, ты не согласен?","Существительные","s_7c9179eecfea.mp3","Мужской"
1188,"לְפִי דַּעְתִּי זֶה מְצוּיָן.","По моему мнению, это отлично.","Существительные","s_6da0b3400b80.mp3","Мужской"
1189,"תִּתְקַשֵּׁר אֵלַי אִם תּוּכַל.","Позвони мне, если сможешь.","Существительные","s_9614fda43b42.mp3","Мужской"
1190,"אִילּוּ יָכוֹלְתִּי, הָיִיתִי בָּא.","Если бы я мог, я бы пришёл.","Существительные","s_00bfa671c075.mp3","Мужской"
1191,"לוּ רַק הָיִיתִי יוֹדֵעַ.","Если бы только я знал.","Существительные","s_96f3241fb4cd.mp3","Мужской"
1192,"אָבוֹא בִּתְנַאי שֶׁתַּעֲזוֹר לִי.","Я приду при условии, что ты мне поможешь.","Существительные","s_ed38bc94ba89.mp3","Мужской"
1193,"אָז מָה נַעֲשֶׂה הַיּוֹם?","Тогда что мы будем делать сегодня?","Существительные","s_1be1ea5a7338.mp3","Мужской"
1194,"אִילּוּ יָדַעְתִּי, הָיִיתִי עוֹזֵר.","Если бы я знал, я бы помог.","Существительные","s_8aa46a83861e.mp3","Мужской"
1195,"הָיִיתִי עוֹשֶׂה אֶת זֶה.","Я бы сделал это.","Существительные","s_feb791f62063.mp3","Женский"
1196,"תַּעֲזוֹר לִי אִם אֶפְשָׁר.","Помоги мне, если можно.","Существительные","s_f36fbca661e9.mp3","Мужской"
1197,"אִם כָּךְ, נֵלֵךְ עַכְשָׁיו.","Если так, пойдём сейчас.","Существительные","s_744e5e53c09a.mp3","Мужской"
1198,"תִּתְקַשֵּׁר בְּמִקְרֶה שֶׁתִּצְטָרֵךְ עֶזְרָה.","Позвони в случае, если тебе понадобится помощь.","Существительные","s_b803385e8aba.mp3","Мужской"
1199,"אֵין בְּרֵירָה, צָרִיךְ לָלֶכֶת.","Нет выбора, нужно идти.","Существительные","s_6d4b80ceab21.mp3","Мужской"
1200,"אֲנִי רוֹצֶה יוֹתֵר זְמַן.","Я хочу больше времени.","Существительные","s_4507b7dbe501.mp3","Мужской"
1201,"יֵשׁ לָנוּ פָּחוֹת זְמַן.","У нас меньше времени.","Существительные","s_66d8d5771fdf.mp3","Мужской"
1202,"זֶה הַמָּקוֹם הֲכִי יָפֶה.","Это самое красивое место.","Существительные","s_db8c4e3a4a4b.mp3","Мужской"
1203,"זֶה הַסֵּפֶר הַטּוֹב בְּיוֹתֵר.","Это самая лучшая книга.","Существительные","s_a3ed932048ab.mp3","Мужской"
1204,"הֲכִי טוֹב לִנְסוֹעַ בְּרַכֶּבֶת.","Лучше всего ехать на поезде.","Существительные","s_160b8b6a632d.mp3","Мужской"
1205,"זֶה הַפִּתְרוֹן הַטּוֹב בְּיוֹתֵר.","Это наилучшее решение.","Существительные","s_a334af7a7ab6.mp3","Мужской"
1206,"אֲנִי כָּל כָּךְ עָיֵף.","Я так устал.","Существительные","s_8499eb43f8c0.mp3","Мужской"
1207,"זֶה זוֹל בְּהַשְׁוָואָה לְאֶתְמוֹל.","Это дёшево по сравнению со вчерашним днем.","Существительные","s_969ae9b0686b.mp3","Мужской"
1208,"הֵבַנְתִּי פָּחוֹת אוֹ יוֹתֵר.","Я приблизительно понял.","Существительные","s_488f38036263.mp3","Мужской"
1209,"זֶה נַעֲשָׂה בְּהֶסְכֵּם מָלֵא.","Это было сделано при полном согласии.","Существительные","s_b441a16b5393.mp3","Мужской"
1210,"קָרָאתִי כּוֹתֶרֶת מְעַנְיֶנֶת בָּעִתּוֹן.","Я прочитал интересный заголовок в газете.","Существительные","s_4bef7557ed45.mp3","Мужской"
1211,"שָׁמַעְתִּי מִבְזַק חֲדָשׁוֹת קָצָר.","Я услышал короткий выпуск новостей.","Существительные","s_3b5d3ca2d7fd.mp3","Мужской"
1212,"זֹאת כַּתָּבָה חֲשׁוּבָה מְאוֹד.","Это очень важная статья.","Существительные","s_11f6484eb232.mp3","Мужской"
1213,"הָעִיתּוֹנַאי שׁוֹאֵל שְׁאֵלוֹת קָשׁוֹת.","Журналист задаёт трудные вопросы.","Существительные","s_5150b163f4b1.mp3","Мужской"
1214,"הוּא עָרַךְ רֵאָיוֹן בִּלְעָדִי.","Он провёл эксклюзивное интервью.","Существительные","s_fb114eb76fc7.mp3","Мужской"
1215,"צָפִינוּ בַּמַּהֲדוּרָה הַמֶּרְכָּזִית בָּעֶרֶב.","Мы смотрели главный выпуск новостей вечером.","Существительные","s_03f60d04eed0.mp3","Мужской"
1216,"זֶה שִׁידּוּר חַי מִיְּרוּשָׁלַיִם.","Это прямой эфир из Иерусалима.","Существительные","s_c0080789aac4.mp3","Мужской"
1217,"יֵשׁ לָזֶה הַשְׁפָּעָה גְּדוֹלָה.","Это оказывает большое влияние.","Существительные","s_da0972c38dc4.mp3","Мужской"
1218,"הַסֶּרֶט קִבֵּל בִּיקּוֹרֶת מְצוּיֶּנֶת.","Фильм получил отличную критику.","Существительные","s_1db5a0ee39fd.mp3","Мужской"
1219,"הוּא יָזָם מַצְלִיחַ מְאוֹד.","Он очень успешный предприниматель.","Существительные","s_4c3720ebb735.mp3","Мужской"
1220,"הִיא לוֹמֶדֶת יַזָּמוּת בָּאוּנִיבֶרְסִיטָה.","Она изучает предпринимательство в университете.","Существительные","s_f5376154fca1.mp3","Женский"
1221,"הַקֶּרֶן מַשְׁקִיעָה בְּהוֹן סִיכּוּן.","Фонд инвестирует в венчурный капитал.","Существительные","s_a9edf32186f5.mp3","Мужской"
1222,"הַחֶבְרָה סִיְּימָה גִּיּוּס כְּסָפִים.","Компания завершила привлечение средств.","Существительные","s_b0b3bd38a67a.mp3","Мужской"
1223,"זֹאת פְּרִיצַת דֶּרֶךְ מַדָּעִית.","Это научный прорыв.","Существительные","s_0f80d5147899.mp3","Мужской"
1224,"הֵם מַתְחִילִים פִּיתּוּחַ חָדָשׁ.","Они начинают новую разработку.","Существительные","s_7a4cfabf21fb.mp3","Мужской"
1225,"הוּא מְנַהֵל מֶחְקָר וּפִיתּוּחַ.","Он руководит исследованиями и разработками.","Существительные","s_606b0d94e531.mp3","Мужской"
1226,"הִיא הֵקִימָה חֶבְרַת הֶזְנֵק.","Она основала стартап-компанию.","Существительные","s_5b46d3ec8510.mp3","Женский"
1227,"אֲנַחְנוּ מִשְׁתַּמְּשִׁים בְּטֶכְנוֹלוֹגְיָה מִתְקַדֶּמֶת.","Мы используем передовую технологию.","Существительные","s_658a0aa06eb0.mp3","Мужской"
1228,"הוּא לוֹמֵד בִּינָה מְלָאכוּתִית.","Он изучает искусственный интеллект.","Существительные","s_735c84e32b4b.mp3","Мужской"
1229,"נִשְׁמוֹר עַל אִיכוּת הַסְּבִיבָה.","Мы сохраним окружающую среду.","Существительные","s_14ec41fbde38.mp3","Мужской"
1230,"מִיחְזוּר חָשׁוּב מְאוֹד לַסְּבִיבָה.","Переработка очень важна для окружающей среды.","Существительные","s_ee3259dc748f.mp3","Мужской"
1231,"יֵשׁ פַּח כָּתוֹם בָּרְחוֹב.","На улице есть оранжевый бак.","Существительные","s_c20d7280472c.mp3","Мужской"
1232,"הַבַּיִת מִשְׁתַּמֵּשׁ בְּאֶנֶרְגְּיָה סוֹלָארִית.","Дом использует солнечную энергию.","Существительные","s_870aa6e0b31d.mp3","Мужской"
1233,"הִתְחַמְּמוּת גְּלוֹבָּלִית מַשְׁפִּיעָה עָלֵינוּ.","Глобальное потепление влияет на нас.","Существительные","s_3b04819e775b.mp3","Мужской"
1234,"טִיַּלְנוּ בִּשְׁמוּרַת טֶבַע יָפָה.","Мы гуляли в красивом заповеднике.","Существительные","s_ef046d2549c4.mp3","Мужской"
1235,"יֵשׁ זִיהוּם אֲוִויר בָּעִיר.","В городе есть загрязнение воздуха.","Существительные","s_d80046c4512c.mp3","Мужской"
1236,"פְּלַסְטִיק חַד פַּעֲמִי מַזִּיק.","Одноразовый пластик вреден.","Существительные","s_99e51f6f329c.mp3","Мужской"
1237,"הוּא קָנָה רֶכֶב חַשְׁמַלִּי.","Он купил электромобиль.","Существительные","s_3b542925f1d9.mp3","Мужской"
1238,"קַיָּימוּת חֲשׁוּבָה לָעוֹלָם שֶׁלָּנוּ.","Устойчивое развитие важно для нашего мира.","Существительные","s_1fe927aad5f3.mp3","Мужской"
1239,"קִבַּלְתִּי טוֹפֶס 17 בַּמִּרְפָּאָה.","Я получил форму 17 в поликлинике.","Существительные","s_b779743dd5a6.mp3","Мужской"
1240,"הִגַּעְנוּ לַחֲדַר מִיּוּן בַּלַּיְלָה.","Мы прибыли в приёмный покой ночью.","Существительные","s_be78885a6060.mp3","Мужской"
1241,"אֲנִי צָרִיךְ רוֹפֵא מוּמְחֶה.","Мне нужен врач-специалист.","Существительные","s_5a08fb838c61.mp3","Мужской"
1242,"הָרוֹפֵא נָתַן לִי הַפְנָיָה.","Врач дал мне направление.","Существительные","s_9b52922f9b5d.mp3","Мужской"
1243,"עָשִׂיתִי בְּדִיקַת דָּם הַבֹּקֶר.","Я сделал анализ крови этим утром.","Существительные","s_35574ec95a49.mp3","Мужской"
1244,"עָשׂוּ לוֹ צִילוּם רֶנְטְגֶּן.","Ему сделали рентгеновский снимок.","Существительные","s_39bb8ace8244.mp3","Мужской"
1245,"הוּא הִשְׁתַּחְרֵר מֵאִשְׁפּוּז הַיּוֹם.","Он выписался из больницы сегодня.","Существительные","s_9a6e186afd08.mp3","Мужской"
1246,"הַנִּיתּוּחַ עָבַר בְּהַצְלָחָה רַבָּה.","Операция прошла с большим успехом.","Существительные","s_c295ce79c08b.mp3","Мужской"
1247,"צָרִיךְ הִתְחַיְּיבוּת כַּסְפִּית לַטִּיפּוּל.","Требуется финансовое обязательство на лечение.","Существительные","s_cd233d26d4eb.mp3","Мужской"
1248,"קִבַּלְתִּי אֶת תּוֹצָאוֹת הַבְּדִיקָה.","Я получил результаты обследования.","Существительные","s_e5c403cf67a2.mp3","Женский"
1249,"הַכְּנֶסֶת נִמְצֵאת בִּירוּשָׁלַיִם.","Кнессет находится в Иерусалиме.","Существительные","s_ef753cd8a3cb.mp3","Мужской"
1250,"בְּקָרוֹב יִהְיוּ בְּחִירוֹת חֲדָשׁוֹת.","Скоро будут новые выборы.","Существительные","s_09b578077920.mp3","Мужской"
1251,"הַמֶּמְשָׁלָה הֶחְלִיטָה עַל כָּך.","Правительство решило об этом.","Существительные","s_295de4026bf1.mp3","Мужской"
1252,"רֹאשׁ הַמֶּמְשָׁלָה נָאַם אֶתְמוֹל.","Премьер-министр выступил вчера с речью.","Существительные","s_a846bf734170.mp3","Мужской"
1253,"נְשִׂיא הַמְּדִינָה בִּקֵּר בְּחֵיפָה.","Президент страны посетил Хайфу.","Существительные","s_624ceae90f89.mp3","Мужской"
1254,"הַקּוֹאָלִיצְיָה חֲזָקָה מְאוֹד הַיּוֹם.","Коалиция сегодня очень сильна.","Существительные","s_786dd80dcb6e.mp3","Мужской"
1255,"הָאוֹפּוֹזִיצְיָה מִתְנַגֶּדֶת לַחוֹק הַזֶּה.","Оппозиция выступает против этого закона.","Существительные","s_b25a88a0f57e.mp3","Мужской"
1256,"הוּא חֲבַר כְּנֶסֶת חָדָשׁ.","Он новый депутат Кнессета.","Существительные","s_6bb1ec738e39.mp3","Мужской"
1257,"הַכְּנֶסֶת אִשְּׁרָה חוֹק חָדָשׁ.","Кнессет утвердил новый закон.","Существительные","s_0979822dff60.mp3","Мужской"
